We gratefully acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below.
All submitters of data may be contacted directly via www.gisaid.org
Accession ID	Virus name	Location	Collection date	Originating lab	Submitting lab	Authors
EPI_ISL_410531	hCoV-19/Japan/NA-20-05-1/2020	Asia / Japan / Nara	2020-01-25	Dept. of Pathology, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Harutaka Katano, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Motoi Suzuki, Hideki Hasegawa, Takaji Wakita, Makoto Takeda, Tadaki Suzuki, Makoto Kuroda
EPI_ISL_422509	hCoV-19/USA/NY-PV09138/2020	North America / USA / New York / Manhattan	2020-03-20	MSHS Clinical Microbiology Laboratories	MSHS Pathogen Surveillance Program	Ana S. Gonzalez-Reiche, Mitchell Sullivan, Ajay Obla, Gopi Patel, Emilia Sordillo, Melissa Gitman, Alberto Paniz-mondolfi, Matthew Hernandez, Shelcie Fabre, Jose Polanco, Zenab Khan, Bremy Albuquerque, Jayeeta Dutta, Juan Soto, Shwetha Sridhar Hara, Ying-Chih Wang, Melissa Smith, Robert Sebra, Lisa Miorin, Wen-chun Liu, Randy Albrecht, Judith Aberg, Florian Krammer, Adolfo Garcia-Sarstre, Viviana Simon, Harm van Bakel
EPI_ISL_422507	hCoV-19/USA/NY-PV09135/2020	North America / USA / New York / Nassau County	2020-03-20	MSHS Clinical Microbiology Laboratories	MSHS Pathogen Surveillance Program	Ana S. Gonzalez-Reiche, Mitchell Sullivan, Ajay Obla, Gopi Patel, Emilia Sordillo, Melissa Gitman, Alberto Paniz-mondolfi, Matthew Hernandez, Shelcie Fabre, Jose Polanco, Zenab Khan, Bremy Albuquerque, Jayeeta Dutta, Juan Soto, Shwetha Sridhar Hara, Ying-Chih Wang, Melissa Smith, Robert Sebra, Lisa Miorin, Wen-chun Liu, Randy Albrecht, Judith Aberg, Florian Krammer, Adolfo Garcia-Sarstre, Viviana Simon, Harm van Bakel
EPI_ISL_422508	hCoV-19/USA/NY-PV09137/2020	North America / USA / New York / Nassau County	2020-03-20	MSHS Clinical Microbiology Laboratories	MSHS Pathogen Surveillance Program	Ana S. Gonzalez-Reiche, Mitchell Sullivan, Ajay Obla, Gopi Patel, Emilia Sordillo, Melissa Gitman, Alberto Paniz-mondolfi, Matthew Hernandez, Shelcie Fabre, Jose Polanco, Zenab Khan, Bremy Albuquerque, Jayeeta Dutta, Juan Soto, Shwetha Sridhar Hara, Ying-Chih Wang, Melissa Smith, Robert Sebra, Lisa Miorin, Wen-chun Liu, Randy Albrecht, Judith Aberg, Florian Krammer, Adolfo Garcia-Sarstre, Viviana Simon, Harm van Bakel
EPI_ISL_422505	hCoV-19/USA/NY-PV09132/2020	North America / USA / New York / Manhattan	2020-03-19	MSHS Clinical Microbiology Laboratories	MSHS Pathogen Surveillance Program	Ana S. Gonzalez-Reiche, Mitchell Sullivan, Ajay Obla, Gopi Patel, Emilia Sordillo, Melissa Gitman, Alberto Paniz-mondolfi, Matthew Hernandez, Shelcie Fabre, Jose Polanco, Zenab Khan, Bremy Albuquerque, Jayeeta Dutta, Juan Soto, Shwetha Sridhar Hara, Ying-Chih Wang, Melissa Smith, Robert Sebra, Lisa Miorin, Wen-chun Liu, Randy Albrecht, Judith Aberg, Florian Krammer, Adolfo Garcia-Sarstre, Viviana Simon, Harm van Bakel
EPI_ISL_422506	hCoV-19/USA/NY-PV09134/2020	North America / USA / New York / Manhattan	2020-03-19	MSHS Clinical Microbiology Laboratories	MSHS Pathogen Surveillance Program	Ana S. Gonzalez-Reiche, Mitchell Sullivan, Ajay Obla, Gopi Patel, Emilia Sordillo, Melissa Gitman, Alberto Paniz-mondolfi, Matthew Hernandez, Shelcie Fabre, Jose Polanco, Zenab Khan, Bremy Albuquerque, Jayeeta Dutta, Juan Soto, Shwetha Sridhar Hara, Ying-Chih Wang, Melissa Smith, Robert Sebra, Lisa Miorin, Wen-chun Liu, Randy Albrecht, Judith Aberg, Florian Krammer, Adolfo Garcia-Sarstre, Viviana Simon, Harm van Bakel
EPI_ISL_422503	hCoV-19/USA/NY-PV09129/2020	North America / USA / New York / Nassau County	2020-03-19	MSHS Clinical Microbiology Laboratories	MSHS Pathogen Surveillance Program	Ana S. Gonzalez-Reiche, Mitchell Sullivan, Ajay Obla, Gopi Patel, Emilia Sordillo, Melissa Gitman, Alberto Paniz-mondolfi, Matthew Hernandez, Shelcie Fabre, Jose Polanco, Zenab Khan, Bremy Albuquerque, Jayeeta Dutta, Juan Soto, Shwetha Sridhar Hara, Ying-Chih Wang, Melissa Smith, Robert Sebra, Lisa Miorin, Wen-chun Liu, Randy Albrecht, Judith Aberg, Florian Krammer, Adolfo Garcia-Sarstre, Viviana Simon, Harm van Bakel
EPI_ISL_417160	hCoV-19/USA/WA-S107/2020	North America / USA / Washington / King County	2020-02-29	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_422504	hCoV-19/USA/NY-PV09130/2020	North America / USA / New York / Manhattan	2020-03-19	MSHS Clinical Microbiology Laboratories	MSHS Pathogen Surveillance Program	Ana S. Gonzalez-Reiche, Mitchell Sullivan, Ajay Obla, Gopi Patel, Emilia Sordillo, Melissa Gitman, Alberto Paniz-mondolfi, Matthew Hernandez, Shelcie Fabre, Jose Polanco, Zenab Khan, Bremy Albuquerque, Jayeeta Dutta, Juan Soto, Shwetha Sridhar Hara, Ying-Chih Wang, Melissa Smith, Robert Sebra, Lisa Miorin, Wen-chun Liu, Randy Albrecht, Judith Aberg, Florian Krammer, Adolfo Garcia-Sarstre, Viviana Simon, Harm van Bakel
EPI_ISL_422501	hCoV-19/USA/NY-PV09127/2020	North America / USA / New York / Brooklyn	2020-03-19	MSHS Clinical Microbiology Laboratories	MSHS Pathogen Surveillance Program	Ana S. Gonzalez-Reiche, Mitchell Sullivan, Ajay Obla, Gopi Patel, Emilia Sordillo, Melissa Gitman, Alberto Paniz-mondolfi, Matthew Hernandez, Shelcie Fabre, Jose Polanco, Zenab Khan, Bremy Albuquerque, Jayeeta Dutta, Juan Soto, Shwetha Sridhar Hara, Ying-Chih Wang, Melissa Smith, Robert Sebra, Lisa Miorin, Wen-chun Liu, Randy Albrecht, Judith Aberg, Florian Krammer, Adolfo Garcia-Sarstre, Viviana Simon, Harm van Bakel
EPI_ISL_422502	hCoV-19/USA/NY-PV09128/2020	North America / USA / New York / Manhattan	2020-03-19	MSHS Clinical Microbiology Laboratories	MSHS Pathogen Surveillance Program	Ana S. Gonzalez-Reiche, Mitchell Sullivan, Ajay Obla, Gopi Patel, Emilia Sordillo, Melissa Gitman, Alberto Paniz-mondolfi, Matthew Hernandez, Shelcie Fabre, Jose Polanco, Zenab Khan, Bremy Albuquerque, Jayeeta Dutta, Juan Soto, Shwetha Sridhar Hara, Ying-Chih Wang, Melissa Smith, Robert Sebra, Lisa Miorin, Wen-chun Liu, Randy Albrecht, Judith Aberg, Florian Krammer, Adolfo Garcia-Sarstre, Viviana Simon, Harm van Bakel
EPI_ISL_417152	hCoV-19/USA/WA-S99/2020	North America / USA / Washington / King County	2020-02-28	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417153	hCoV-19/USA/WA-S100/2020	North America / USA / Washington / King County	2020-02-29	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_422500	hCoV-19/USA/NY-PV09126/2020	North America / USA / New York / Nassau County	2020-03-19	MSHS Clinical Microbiology Laboratories	MSHS Pathogen Surveillance Program	Ana S. Gonzalez-Reiche, Mitchell Sullivan, Ajay Obla, Gopi Patel, Emilia Sordillo, Melissa Gitman, Alberto Paniz-mondolfi, Matthew Hernandez, Shelcie Fabre, Jose Polanco, Zenab Khan, Bremy Albuquerque, Jayeeta Dutta, Juan Soto, Shwetha Sridhar Hara, Ying-Chih Wang, Melissa Smith, Robert Sebra, Lisa Miorin, Wen-chun Liu, Randy Albrecht, Judith Aberg, Florian Krammer, Adolfo Garcia-Sarstre, Viviana Simon, Harm van Bakel
EPI_ISL_417150	hCoV-19/USA/WA-S97/2020	North America / USA / Washington / King County	2020-02-28	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417151	hCoV-19/USA/WA-S98/2020	North America / USA / Washington / King County	2020-02-29	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417156	hCoV-19/USA/WA-S103/2020	North America / USA / Washington / King County	2020-02-28	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417157	hCoV-19/USA/WA-S104/2020	North America / USA / Washington / Snohomish County	2020-03-05	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417154	hCoV-19/USA/WA-S101/2020	North America / USA / Washington / King County	2020-02-28	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417155	hCoV-19/USA/WA-S102/2020	North America / USA / Washington / King County	2020-02-28	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417158	hCoV-19/USA/WA-S105/2020	North America / USA / Washington / King County	2020-02-28	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417159	hCoV-19/USA/WA-S106/2020	North America / USA / Washington / King County	2020-02-29	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_420797	hCoV-19/USA/TX_2817/2020	North America / USA / Texas	2020-03-01	Texas DSHS Lab Services	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_420796	hCoV-19/USA/TX_2039/2020	North America / USA / Texas	2020-02-29	Texas DSHS Lab Services	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_420799	hCoV-19/Korea/BA-ACH_2604/2020	Asia / Korea	2020-02-27	Brian D. Allgood Army Community Hospital	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
